Operation,Max(MiB),Min(MiB),Mean(MiB),StdDev,Max(OPs),Min(OPs),Mean(OPs),StdDev,Mean(s),Test#,#Tasks,tPN,reps,fPP,reord,reordoff,reordrand,seed,segcnt,blksiz,xsize,aggs(MiB),API,RefNum,Used(GiB)
write,63.41,63.41,63.41,0.00,16233.80,16233.80,16233.80,0.00,8.07402,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,46.0878
write,71.31,71.31,71.31,0.00,18254.35,18254.35,18254.35,0.00,7.18032,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,46.7861
write,67.47,67.47,67.47,0.00,17273.21,17273.21,17273.21,0.00,7.58817,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,47.4844
write,67.01,67.01,67.01,0.00,17154.37,17154.37,17154.37,0.00,7.64073,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,47.4844
write,69.97,69.97,69.97,0.00,17912.94,17912.94,17912.94,0.00,7.31717,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,48.1827
write,74.16,74.16,74.16,0.00,18984.75,18984.75,18984.75,0.00,6.90407,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,48.881
write,63.02,63.02,63.02,0.00,16133.04,16133.04,16133.04,0.00,8.12444,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,49.5793
write,66.27,66.27,66.27,0.00,16964.18,16964.18,16964.18,0.00,7.72640,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,49.5793
write,64.88,64.88,64.88,0.00,16609.05,16609.05,16609.05,0.00,7.89160,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,50.2776
write,71.20,71.20,71.20,0.00,18228.14,18228.14,18228.14,0.00,7.19064,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,50.9759
write,69.31,69.31,69.31,0.00,17743.76,17743.76,17743.76,0.00,7.38694,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,50.9759
write,68.48,68.48,68.48,0.00,17531.15,17531.15,17531.15,0.00,7.47652,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,51.6742
write,70.56,70.56,70.56,0.00,18062.38,18062.38,18062.38,0.00,7.25663,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,52.3725
write,71.24,71.24,71.24,0.00,18238.07,18238.07,18238.07,0.00,7.18673,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,53.0708
write,65.00,65.00,65.00,0.00,16641.14,16641.14,16641.14,0.00,7.87638,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,53.0708
write,68.13,68.13,68.13,0.00,17441.22,17441.22,17441.22,0.00,7.51507,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,53.7691
write,65.74,65.74,65.74,0.00,16829.19,16829.19,16829.19,0.00,7.78837,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,54.4674
write,66.76,66.76,66.76,0.00,17091.65,17091.65,17091.65,0.00,7.66877,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,54.4674
write,65.95,65.95,65.95,0.00,16882.59,16882.59,16882.59,0.00,7.76374,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,55.1657
write,67.17,67.17,67.17,0.00,17195.39,17195.39,17195.39,0.00,7.62251,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,55.864
write,65.69,65.69,65.69,0.00,16817.07,16817.07,16817.07,0.00,7.79399,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,56.5623
write,66.65,66.65,66.65,0.00,17063.13,17063.13,17063.13,0.00,7.68159,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,56.5623
write,73.00,73.00,73.00,0.00,18688.13,18688.13,18688.13,0.00,7.01365,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,57.2606
write,65.90,65.90,65.90,0.00,16870.75,16870.75,16870.75,0.00,7.76918,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,57.9589
write,69.53,69.53,69.53,0.00,17798.61,17798.61,17798.61,0.00,7.36417,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,58.6572
write,65.73,65.73,65.73,0.00,16827.12,16827.12,16827.12,0.00,7.78933,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,58.6572
write,71.71,71.71,71.71,0.00,18357.83,18357.83,18357.83,0.00,7.13984,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,59.3555
write,70.39,70.39,70.39,0.00,18020.60,18020.60,18020.60,0.00,7.27345,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,60.0538
write,71.29,71.29,71.29,0.00,18250.43,18250.43,18250.43,0.00,7.18186,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,60.0538
write,70.60,70.60,70.60,0.00,18074.20,18074.20,18074.20,0.00,7.25189,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,60.7521
write,67.07,67.07,67.07,0.00,17168.88,17168.88,17168.88,0.00,7.63428,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,61.4504
write,70.27,70.27,70.27,0.00,17990.33,17990.33,17990.33,0.00,7.28569,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,62.1487
write,71.30,71.30,71.30,0.00,18253.88,18253.88,18253.88,0.00,7.18050,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,62.1487
write,66.57,66.57,66.57,0.00,17043.20,17043.20,17043.20,0.00,7.69058,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,62.847
write,66.75,66.75,66.75,0.00,17087.85,17087.85,17087.85,0.00,7.67048,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,63.5453
write,66.09,66.09,66.09,0.00,16918.42,16918.42,16918.42,0.00,7.74729,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,63.5453
write,64.35,64.35,64.35,0.00,16474.88,16474.88,16474.88,0.00,7.95587,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,64.2436
write,71.71,71.71,71.71,0.00,18358.68,18358.68,18358.68,0.00,7.13951,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,64.9419
write,72.02,72.02,72.02,0.00,18437.76,18437.76,18437.76,0.00,7.10889,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,65.6402
write,66.63,66.63,66.63,0.00,17057.09,17057.09,17057.09,0.00,7.68431,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,65.6402
write,77.46,77.46,77.46,0.00,19828.83,19828.83,19828.83,0.00,6.61017,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,66.3385
write,66.94,66.94,66.94,0.00,17137.39,17137.39,17137.39,0.00,7.64830,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,67.0368
write,68.05,68.05,68.05,0.00,17420.90,17420.90,17420.90,0.00,7.52384,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,67.0368
write,66.78,66.78,66.78,0.00,17096.94,17096.94,17096.94,0.00,7.66640,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,67.7351
write,65.34,65.34,65.34,0.00,16725.92,16725.92,16725.92,0.00,7.83646,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,68.4334
write,66.51,66.51,66.51,0.00,17025.54,17025.54,17025.54,0.00,7.69855,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,69.1317
write,60.40,60.40,60.40,0.00,15461.27,15461.27,15461.27,0.00,8.47744,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,69.1317
write,63.89,63.89,63.89,0.00,16355.87,16355.87,16355.87,0.00,8.01376,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,69.1317
write,61.88,61.88,61.88,0.00,15841.03,15841.03,15841.03,0.00,8.27421,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,69.83
write,64.83,64.83,64.83,0.00,16597.28,16597.28,16597.28,0.00,7.89720,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,70.5283
write,60.79,60.79,60.79,0.00,15561.98,15561.98,15561.98,0.00,8.42258,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,70.5283
write,63.10,63.10,63.10,0.00,16153.67,16153.67,16153.67,0.00,8.11407,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,71.2266
write,58.79,58.79,58.79,0.00,15051.24,15051.24,15051.24,0.00,8.70839,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,71.9249
write,57.60,57.60,57.60,0.00,14745.98,14745.98,14745.98,0.00,8.88866,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,72.6232
write,59.26,59.26,59.26,0.00,15169.74,15169.74,15169.74,0.00,8.64036,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,72.6232
write,60.61,60.61,60.61,0.00,15515.89,15515.89,15515.89,0.00,8.44760,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,73.3215
